section,section_label,k,beta,threshold_treatment,treatment_label,theta_mean,seed_fraction,variant,cascade_prob,final_adoption_median,final_adoption_p05,final_adoption_p95,t10_median,t10_p05,t10_p95,t50_median,t50_p05,t50_p95,t90_median,t90_p05,t90_p95,transition_time_median,transition_time_p05,transition_time_p95,max_slope_median,max_slope_p05,max_slope_p95,n_runs,cascade_prob_ci_low,cascade_prob_ci_high
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.89,0.01,homogeneous,1.0,0.9055,0.8893,0.9312,8.0,6.550000000000001,10.45,32.5,25.200000000000003,44.0,65.0,44.5,78.5,24.5,18.65,34.0,0.03600000000000003,0.028650000000000023,0.047950000000000034,12,0.7574992425007574,1.0
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.9,0.001,homogeneous,0.08333333333333333,0.322,0.001,0.6286499999999999,34.5,16.700000000000003,95.85000000000001,75.5,59.9,97.05,,,,51.0,45.0,70.6,0.01200000000000001,0.0,0.018350000000000012,12,0.014864709450773478,0.35388592179859524
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.9,0.002,homogeneous,0.16666666666666666,0.5145,0.33105,0.8290999999999998,22.0,12.75,43.34999999999998,87.0,42.599999999999994,98.6,67.0,67.0,67.0,65.0,29.4,74.8,0.017,0.01110000000000001,0.030199999999999963,12,0.04696414761482223,0.44803635738467273
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.9,0.003,homogeneous,0.5,0.6819999999999999,0.5226000000000001,0.84165,15.0,12.0,19.45,58.5,49.3,66.0,,,,43.5,36.2,49.9,0.020000000000000004,0.018549999999999987,0.034800000000000025,12,0.2537781703934222,0.7462218296065778
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.9,0.005,homogeneous,0.6666666666666666,0.738,0.57525,0.9193500000000001,14.5,9.55,18.349999999999998,47.5,37.3,68.6,90.0,82.80000000000001,90.89999999999999,35.0,25.1,51.9,0.022500000000000006,0.017550000000000017,0.033800000000000024,12,0.3906175873976139,0.8618821601026385
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.9,0.01,homogeneous,1.0,0.901,0.6765,0.9129,8.0,6.0,9.0,30.5,25.200000000000003,39.45,56.0,47.3,71.49999999999999,22.5,18.65,31.0,0.030000000000000027,0.021549999999999965,0.040249999999999966,12,0.7574992425007574,1.0
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.91,0.001,homogeneous,0.0,0.3875,0.06645000000000001,0.6269,33.0,17.5,67.0,71.5,66.45,82.5,,,,51.0,45.75,63.9,0.014999999999999986,0.003750000000000003,0.020899999999999974,12,0.0,0.2425007574992425
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.91,0.002,homogeneous,0.3333333333333333,0.585,0.35165,0.7141,16.5,13.100000000000001,31.39999999999999,63.0,45.85,82.89999999999999,,,,46.0,32.55,66.29999999999998,0.019500000000000003,0.01155000000000001,0.024150000000000005,12,0.13811783989736134,0.609382412602386
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.91,0.003,homogeneous,0.16666666666666666,0.567,0.4526,0.7073499999999999,15.0,11.55,23.349999999999998,60.0,39.2,80.19999999999999,,,,46.0,27.599999999999998,66.4,0.01949999999999999,0.013650000000000006,0.02424999999999999,12,0.04696414761482223,0.44803635738467273
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.91,0.005,homogeneous,0.4166666666666667,0.6295,0.42615000000000003,0.7715000000000001,13.0,9.1,27.949999999999992,52.0,36.5,82.0,,,,39.0,27.5,65.5,0.01949999999999999,0.013199999999999983,0.027449999999999995,12,0.19325746190524654,0.6804926643446272
L_calibration,L calibration,10,0.7,homogeneous,homogeneous,0.91,0.01,homogeneous,1.0,0.6890000000000001,0.5906499999999999,0.9250500000000001,8.0,7.55,10.45,38.5,28.1,45.0,79.0,78.1,79.9,30.5,20.55,35.349999999999994,0.029500000000000012,0.02354999999999999,0.043400000000000036,12,0.7574992425007574,1.0
