hazard_match_reps,theta_sweep,sigma,seed_fraction,k,setting_label,vary_network,m,v0,p_digital,total_adoptions,count_k,hazard_h,theta_high,pi,cascade_transition_window,theta_mean,abandonment_h,N,total_bankruptcies,pioneer_fraction,cascade_dynamic70,abandonment_sweep,network_seed,performance_benchmark,theta_low_mean,seed_count,min_better_total,digital_growth_sd,final_adoption,digital_growth_mean,degree_variance,clustering,max_slope,max_slope_period,return_distribution_sweep,cascade,giant_component_fraction,run_seed,cascade_slope_min,target_mean_degree,effort_metric,hazard_matched_final_adoption,t50,benchmark_percentile,network_generator,setting,robustness_axis,success_denominator,family,theta_low,powerlaw_alpha,effort_budget,variant_label,performance_benchmark_sweep,transition_time,pioneer_strategy,requested_reps,pioneer_threshold,cascade_threshold70,t10,stop_time,cascade_dynamic,min_successful_digital,cascade_final_cutoff,update_schedule,sigma_high,run_index,experiment,allow_abandonment,seed_fraction_sweep,excess_over_hazard,realised_edges,premium_ratio,realised_mean_degree,realised_N,cascade_threshold50,traditional_growth_sd,stopped_reason,valuation_cv,threshold_treatment,seed_strategy,phase,beta,effort_label,rule,return_distribution,variant,traditional_growth_mean,replacement_digital_rule,theta_crit,t90,avg_path_length,pioneer_count
0,,,0.01,4,Exp A focal,false,,10.0,0.01,692,1,,,0.1,45,0.7,0.0,1000,190,0.1,false,,6301,own,,10,0,1.0,0.512,1.5,1.8458458458458458,0.003900606761051719,0.013999999999999985,22,,false,1.0,2077736381,0.02,4,,0.512,94,0.75,watts_strogatz_rewire,experiment_A,,better,small_world,0.05,,,hazard,,84,random,250,0.05,false,10,100,false,0,0.5,,,23,experiment_G_success_rule_robustness,false,,0.0,2000,,4.0,1000,true,0.1,T,20.526030859151014,mixture,random,revision,1.0,,hazard,normal,hazard,0.15,bernoulli_seed_probability,,,5.322597597597597,100
0,,,0.01,4,Exp A focal,false,,10.0,0.01,679,1,,,0.1,45,0.7,0.0,1000,190,0.1,false,,6301,own,,10,0,1.0,0.499,1.5,1.8458458458458458,0.003900606761051719,0.014,1,,false,1.0,792885575,0.02,4,,0.499,,0.75,watts_strogatz_rewire,experiment_A,,better,small_world,0.05,,,hazard,,,random,250,0.05,false,10,100,false,0,0.5,,,24,experiment_G_success_rule_robustness,false,,0.0,2000,,4.0,1000,false,0.1,T,22.292347383594254,mixture,random,revision,1.0,,hazard,normal,hazard,0.15,bernoulli_seed_probability,,,5.322597597597597,100
0,,,0.01,4,Exp A focal,false,,10.0,0.01,707,1,,,0.1,45,0.7,0.0,1000,213,0.1,false,,6301,own,,10,0,1.0,0.505,1.5,1.8458458458458458,0.003900606761051719,0.015,6,,false,1.0,1268887457,0.02,4,,0.505,99,0.75,watts_strogatz_rewire,experiment_A,,better,small_world,0.05,,,hazard,,90,random,250,0.05,false,9,100,false,0,0.5,,,25,experiment_G_success_rule_robustness,false,,0.0,2000,,4.0,1000,true,0.1,T,16.22773039088835,mixture,random,revision,1.0,,hazard,normal,hazard,0.15,bernoulli_seed_probability,,,5.322597597597597,100
0,,,0.01,4,Exp A focal,false,,10.0,0.01,659,1,,,0.1,45,0.7,0.0,1000,188,0.1,false,,6301,own,,10,0,1.0,0.482,1.5,1.8458458458458458,0.003900606761051719,0.014,1,,false,1.0,582899889,0.02,4,,0.482,,0.75,watts_strogatz_rewire,experiment_A,,better,small_world,0.05,,,hazard,,,random,250,0.05,false,10,100,false,0,0.5,,,26,experiment_G_success_rule_robustness,false,,0.0,2000,,4.0,1000,false,0.1,T,21.910222557287714,mixture,random,revision,1.0,,hazard,normal,hazard,0.15,bernoulli_seed_probability,,,5.322597597597597,100
0,,,0.01,4,Exp A focal,false,,10.0,0.01,666,1,,,0.1,45,0.7,0.0,1000,206,0.1,false,,6301,own,,10,0,1.0,0.472,1.5,1.8458458458458458,0.003900606761051719,0.015000000000000006,5,,false,1.0,1008076941,0.02,4,,0.472,,0.75,watts_strogatz_rewire,experiment_A,,better,small_world,0.05,,,hazard,,,random,250,0.05,false,11,100,false,0,0.5,,,27,experiment_G_success_rule_robustness,false,,0.0,2000,,4.0,1000,false,0.1,T,26.09862153260234,mixture,random,revision,1.0,,hazard,normal,hazard,0.15,bernoulli_seed_probability,,,5.322597597597597,100
0,,,0.01,4,Exp A focal,false,,10.0,0.01,660,1,,,0.1,45,0.7,0.0,1000,182,0.1,false,,6301,own,,10,0,1.0,0.488,1.5,1.8458458458458458,0.003900606761051719,0.018000000000000002,12,,false,1.0,287866478,0.02,4,,0.488,,0.75,watts_strogatz_rewire,experiment_A,,better,small_world,0.05,,,hazard,,,random,250,0.05,false,10,100,false,0,0.5,,,28,experiment_G_success_rule_robustness,false,,0.0,2000,,4.0,1000,false,0.1,T,16.276978252869274,mixture,random,revision,1.0,,hazard,normal,hazard,0.15,bernoulli_seed_probability,,,5.322597597597597,100
0,,,0.01,4,Exp A focal,false,,10.0,0.01,668,1,,,0.1,45,0.7,0.0,1000,207,0.1,false,,6301,own,,10,0,1.0,0.472,1.5,1.8458458458458458,0.003900606761051719,0.014000000000000012,27,,false,1.0,1991135860,0.02,4,,0.472,,0.75,watts_strogatz_rewire,experiment_A,,better,small_world,0.05,,,hazard,,,random,250,0.05,false,9,100,false,0,0.5,,,29,experiment_G_success_rule_robustness,false,,0.0,2000,,4.0,1000,false,0.1,T,29.526201668311185,mixture,random,revision,1.0,,hazard,normal,hazard,0.15,bernoulli_seed_probability,,,5.322597597597597,100
0,,,0.01,4,Exp A focal,false,,10.0,0.01,686,1,,,0.1,45,0.7,0.0,1000,191,0.1,false,,6301,own,,10,0,1.0,0.509,1.5,1.8458458458458458,0.003900606761051719,0.013999999999999999,4,,false,1.0,728404294,0.02,4,,0.509,94,0.75,watts_strogatz_rewire,experiment_A,,better,small_world,0.05,,,hazard,,83,random,250,0.05,false,11,100,false,0,0.5,,,30,experiment_G_success_rule_robustness,false,,0.0,2000,,4.0,1000,true,0.1,T,21.54138313699508,mixture,random,revision,1.0,,hazard,normal,hazard,0.15,bernoulli_seed_probability,,,5.322597597597597,100
0,,,0.01,4,Exp A focal,false,,10.0,0.01,682,1,,,0.1,45,0.7,0.0,1000,189,0.1,false,,6301,own,,10,0,1.0,0.504,1.5,1.8458458458458458,0.003900606761051719,0.016999999999999998,3,,false,1.0,1758334218,0.02,4,,0.504,96,0.75,watts_strogatz_rewire,experiment_A,,better,small_world,0.05,,,hazard,,86,random,250,0.05,false,10,100,false,0,0.5,,,31,experiment_G_success_rule_robustness,false,,0.0,2000,,4.0,1000,true,0.1,T,20.202723348886884,mixture,random,revision,1.0,,hazard,normal,hazard,0.15,bernoulli_seed_probability,,,5.322597597597597,100
0,,,0.01,4,Exp A focal,false,,10.0,0.01,676,1,,,0.1,45,0.7,0.0,1000,199,0.1,false,,6301,own,,10,0,1.0,0.488,1.5,1.8458458458458458,0.003900606761051719,0.013999999999999985,16,,false,1.0,326770948,0.02,4,,0.488,,0.75,watts_strogatz_rewire,experiment_A,,better,small_world,0.05,,,hazard,,,random,250,0.05,false,11,100,false,0,0.5,,,32,experiment_G_success_rule_robustness,false,,0.0,2000,,4.0,1000,false,0.1,T,28.34886818317022,mixture,random,revision,1.0,,hazard,normal,hazard,0.15,bernoulli_seed_probability,,,5.322597597597597,100
