section,k,beta,threshold_treatment,treatment_label,theta_mean,seed_fraction,variant,cascade_prob,final_adoption_median,final_adoption_p05,final_adoption_p95,t10_median,t10_p05,t10_p95,t50_median,t50_p05,t50_p95,t90_median,t90_p05,t90_p95,transition_time_median,transition_time_p05,transition_time_p95,max_slope_median,max_slope_p05,max_slope_p95,n_runs,cascade_prob_ci_low,cascade_prob_ci_high
calibration,20,0.7,homogeneous,homogeneous,0.95,0.001,homogeneous,0.15,0.553,0.36185,0.92415,19.0,13.0,34.150000000000006,68.0,50.5,88.0,80.5,69.8,92.9,47.5,35.3,70.6,0.017499999999999974,0.013949999999999985,0.04320000000000004,20,0.05236779195949584,0.36042329588695743
calibration,20,0.7,homogeneous,homogeneous,0.95,0.003,homogeneous,0.55,0.603,0.48315,0.92105,14.5,10.0,22.0,52.5,32.85,94.04999999999998,60.0,46.2,83.19999999999999,35.5,18.85,79.6,0.027500000000000024,0.016800000000000002,0.04204999999999993,20,0.3420820083075997,0.7418049791429071
calibration,20,0.7,homogeneous,homogeneous,0.95,0.006,homogeneous,0.8,0.91,0.5049,0.9233,10.0,7.0,12.150000000000002,33.0,25.900000000000002,62.90000000000001,59.0,40.9,82.70000000000002,23.0,16.9,49.100000000000016,0.03650000000000003,0.018000000000000016,0.044100000000000035,20,0.5839782779742401,0.9193436467288
calibration,20,0.7,homogeneous,homogeneous,0.95,0.01,homogeneous,0.95,0.9105000000000001,0.5734999999999999,0.93415,7.0,6.0,8.05,29.0,25.0,41.000000000000014,56.0,37.5,82.0,22.0,17.95,33.000000000000014,0.038000000000000034,0.023750000000000018,0.048050000000000044,20,0.7638641064874331,0.9911187805671268
calibration,20,0.7,homogeneous,homogeneous,0.9525,0.001,homogeneous,0.1,0.504,0.00095,0.9047499999999999,23.0,14.700000000000001,34.449999999999996,85.0,40.5,99.0,70.0,55.6,84.4,61.0,25.0,77.5,0.016999999999999994,0.0,0.032450000000000034,20,0.027865893984153206,0.30103820641179335
calibration,20,0.7,homogeneous,homogeneous,0.9525,0.003,homogeneous,0.55,0.907,0.5365500000000001,0.929,14.0,8.95,19.250000000000004,55.0,34.3,80.2,83.0,65.6,96.19999999999999,42.0,21.799999999999997,59.20000000000002,0.03550000000000003,0.019000000000000013,0.043100000000000034,20,0.3420820083075997,0.7418049791429071
calibration,20,0.7,homogeneous,homogeneous,0.9525,0.006,homogeneous,0.85,0.9095,0.49774999999999997,0.9304000000000001,10.0,7.0,12.05,41.0,25.95,78.05000000000001,63.0,36.65,88.25,31.0,17.9,67.95000000000002,0.03799999999999992,0.02100000000000002,0.04215000000000004,20,0.6395767041130426,0.9476322080405041
calibration,20,0.7,homogeneous,homogeneous,0.9525,0.01,homogeneous,0.9,0.909,0.5234,0.9253,7.0,6.0,9.0,28.5,22.849999999999998,51.400000000000006,52.0,35.6,78.0,21.0,15.85,43.5,0.03999999999999998,0.027700000000000023,0.04710000000000004,20,0.6989617935882066,0.9721341060158468
calibration,20,0.7,mixture,mixture_pi05,0.6,0.001,mixture_pi05,0.95,0.9935,0.8626,1.0,8.0,6.0,16.0,11.0,9.9,19.1,13.0,11.0,21.0,4.0,3.0,4.0,0.29749999999999993,0.25079999999999997,0.31515,20,0.7638641064874331,0.9911187805671268
calibration,20,0.7,mixture,mixture_pi05,0.6,0.003,mixture_pi05,1.0,0.98,0.91145,1.0,5.0,4.95,7.050000000000001,9.0,8.0,11.05,10.0,9.950000000000001,12.05,4.0,3.0,4.0,0.294,0.2579,0.30925,20,0.8388698745050668,0.9999999999999999
calibration,20,0.7,mixture,mixture_pi05,0.6,0.006,mixture_pi05,1.0,0.968,0.9218000000000001,1.0,4.0,3.95,5.0,8.0,7.0,8.05,9.0,8.0,10.0,4.0,3.0,4.0,0.29350000000000004,0.27069999999999994,0.30910000000000004,20,0.8388698745050668,0.9999999999999999
calibration,20,0.7,mixture,mixture_pi05,0.6,0.01,mixture_pi05,1.0,0.9744999999999999,0.9198000000000001,1.0,3.0,3.0,4.0,7.0,6.949999999999999,7.0,8.0,8.0,9.0,3.5,3.0,4.0,0.2909999999999999,0.2687,0.31205000000000005,20,0.8388698745050668,0.9999999999999999
calibration,20,0.7,mixture,mixture_pi05,0.65,0.001,mixture_pi05,0.95,0.978,0.8644999999999999,0.99905,9.0,6.8999999999999995,16.80000000000001,14.0,11.9,21.900000000000013,16.0,12.9,23.80000000000001,5.0,4.0,6.0,0.254,0.22039999999999998,0.26880000000000004,20,0.7638641064874331,0.9911187805671268
calibration,20,0.7,mixture,mixture_pi05,0.65,0.003,mixture_pi05,1.0,0.978,0.9186000000000001,0.99905,6.0,5.0,8.05,11.0,9.0,13.05,12.0,10.95,14.05,5.0,4.0,5.0,0.24900000000000005,0.23675,0.26945,20,0.8388698745050668,0.9999999999999999
calibration,20,0.7,mixture,mixture_pi05,0.65,0.006,mixture_pi05,1.0,0.9915,0.9266500000000001,1.0,5.0,4.0,6.050000000000001,9.5,9.0,11.05,11.0,10.95,12.100000000000001,5.0,4.0,5.0,0.2615,0.24085,0.27119999999999994,20,0.8388698745050668,0.9999999999999999
calibration,20,0.7,mixture,mixture_pi05,0.65,0.01,mixture_pi05,1.0,0.98,0.917,0.99905,4.0,3.0,5.0,8.0,7.95,9.0,10.0,9.0,11.0,4.0,4.0,5.0,0.2485,0.23079999999999998,0.26915,20,0.8388698745050668,0.9999999999999999
calibration,20,0.7,mixture,mixture_pi05,0.7,0.001,mixture_pi05,0.95,0.9724999999999999,0.8721,1.0,8.0,5.9,13.300000000000004,13.0,11.9,18.400000000000006,15.0,13.899999999999999,20.400000000000006,5.0,5.0,6.0,0.20850000000000002,0.18524999999999994,0.22599999999999998,20,0.7638641064874331,0.9911187805671268
calibration,20,0.7,mixture,mixture_pi05,0.7,0.003,mixture_pi05,1.0,0.978,0.9176,0.998,6.0,5.0,7.0,11.0,9.950000000000001,13.0,13.0,11.95,15.0,5.0,4.95,6.0,0.21449999999999997,0.20185000000000006,0.22729999999999997,20,0.8388698745050668,0.9999999999999999
calibration,20,0.7,mixture,mixture_pi05,0.7,0.006,mixture_pi05,1.0,0.969,0.9329500000000001,0.999,5.0,4.0,6.0,10.0,9.0,11.0,12.0,11.0,13.0,5.0,4.0,6.0,0.21499999999999997,0.20389999999999994,0.22799999999999998,20,0.8388698745050668,0.9999999999999999
calibration,20,0.7,mixture,mixture_pi05,0.7,0.01,mixture_pi05,1.0,0.9715,0.9117999999999999,0.999,4.0,3.0,4.050000000000001,9.0,8.0,9.0,11.0,10.0,11.0,5.0,4.0,5.0,0.21800000000000003,0.20370000000000005,0.22649999999999998,20,0.8388698745050668,0.9999999999999999
calibration,20,0.7,mixture,mixture_pi05,0.75,0.001,mixture_pi05,1.0,0.979,0.9048,0.99705,8.5,7.0,22.250000000000004,15.5,13.0,30.250000000000004,18.0,16.0,33.25,7.0,6.0,8.05,0.1765,0.16590000000000005,0.18614999999999993,20,0.8388698745050668,0.9999999999999999
